employee_name,job_role,work_category,work_hours,month
Employee 0,projmgr,Stationary,5.0,11
Employee 0,projmgr,Remote,6.5,11
Employee 0,projmgr,Stationary,6.0,11
Employee 0,projmgr,Remote,6.0,11
Employee 0,projmgr,Remote,4.5,11
Employee 0,projmgr,Stationary,5.0,11
Employee 0,projmgr,Remote,7.5,11
Employee 0,projmgr,Stationary,7.0,11
Employee 1,projmgr,Stationary,5.5,2
Employee 1,projmgr,Remote,8.0,2
Employee 1,projmgr,Stationary,6.5,2
Employee 1,projmgr,Stationary,7.0,2
Employee 1,projmgr,Stationary,6.0,2
Employee 1,projmgr,Stationary,6.5,2
Employee 1,projmgr,Stationary,7.5,2
Employee 1,projmgr,Stationary,7.5,1
Employee 1,projmgr,Stationary,6.0,1
Employee 1,projmgr,Remote,7.5,1
Employee 1,projmgr,Remote,5.0,1
Employee 1,projmgr,Remote,7.0,1
Employee 1,projmgr,Remote,5.0,1
Employee 1,projmgr,Remote,4.5,1
Employee 1,projmgr,Remote,4.5,1
Employee 1,projmgr,Stationary,6.0,1
Employee 1,projmgr,Remote,7.0,1
Employee 1,projmgr,Remote,6.0,1
Employee 1,projmgr,Remote,7.0,1
Employee 1,projmgr,Stationary,6.0,1
Employee 1,projmgr,Remote,5.0,1
Employee 1,projmgr,Remote,4.5,1
Employee 1,projmgr,Stationary,8.0,1
Employee 1,projmgr,Remote,4.5,1
Employee 1,projmgr,Remote,8.0,1
Employee 1,projmgr,Remote,7.5,1
Employee 1,projmgr,Remote,6.5,1
Employee 1,projmgr,Stationary,6.5,1
Employee 1,projmgr,Remote,7.0,1
Employee 1,projmgr,Stationary,6.5,1
Employee 1,projmgr,Remote,6.5,1
Employee 1,projmgr,Remote,6.5,1
Employee 1,projmgr,Remote,5.0,1
Employee 1,projmgr,Stationary,6.0,1
Employee 1,projmgr,Stationary,8.0,1
Employee 1,projmgr,Stationary,6.0,1
Employee 1,projmgr,Remote,7.5,12
Employee 1,projmgr,Stationary,6.5,12
Employee 1,projmgr,Remote,4.5,12
Employee 1,projmgr,Stationary,4.5,12
Employee 1,projmgr,Stationary,8.0,12
Employee 1,projmgr,Remote,5.0,12
Employee 1,projmgr,Remote,7.5,12
Employee 1,projmgr,Stationary,6.5,12
Employee 1,projmgr,Stationary,7.0,12
Employee 1,projmgr,Remote,4.5,12
Employee 1,projmgr,Stationary,4.5,12
Employee 1,projmgr,Remote,5.5,12
Employee 1,projmgr,Remote,7.5,12
Employee 1,projmgr,Stationary,8.0,12
Employee 1,projmgr,Remote,7.0,12
Employee 1,projmgr,Stationary,4.5,12
Employee 1,projmgr,Stationary,8.0,12
Employee 1,projmgr,Stationary,7.5,12
Employee 1,projmgr,Stationary,7.0,12
Employee 1,projmgr,Stationary,6.0,12
Employee 1,projmgr,Stationary,4.5,12
Employee 1,projmgr,Remote,4.5,12
Employee 1,projmgr,Remote,8.0,12
Employee 1,projmgr,Remote,4.5,12
Employee 1,projmgr,Remote,5.5,12
Employee 1,projmgr,Stationary,5.0,12
Employee 1,projmgr,Remote,7.0,12
Employee 1,projmgr,Stationary,8.0,12
Employee 1,projmgr,Remote,7.0,12
Employee 1,projmgr,Remote,5.5,12
Employee 1,projmgr,Stationary,7.5,12
Employee 1,projmgr,Stationary,8.0,11
Employee 1,projmgr,Stationary,4.5,11
Employee 1,projmgr,Stationary,6.5,11
Employee 1,projmgr,Remote,7.0,11
Employee 1,projmgr,Stationary,5.0,11
Employee 1,projmgr,Remote,5.5,11
Employee 1,projmgr,Stationary,6.5,11
Employee 1,projmgr,Stationary,6.5,11
Employee 1,projmgr,Stationary,6.0,11
Employee 1,projmgr,Remote,6.5,11
Employee 1,projmgr,Remote,6.0,11
Employee 1,projmgr,Stationary,7.0,11
Employee 1,projmgr,Stationary,8.0,11
Employee 1,projmgr,Stationary,5.5,11
Employee 1,projmgr,Remote,5.5,11
Employee 1,projmgr,Remote,5.0,11
Employee 1,projmgr,Stationary,4.5,11
Employee 1,projmgr,Remote,4.5,11
Employee 1,projmgr,Remote,8.0,11
Employee 1,projmgr,Stationary,4.5,11
Employee 1,projmgr,Stationary,6.0,11
Employee 2,frontend,Stationary,5.0,2
Employee 2,frontend,Stationary,5.5,2
Employee 2,frontend,Stationary,6.0,2
Employee 2,frontend,Stationary,8.0,2
Employee 2,frontend,Remote,6.0,2
Employee 2,frontend,Remote,6.5,2
Employee 2,frontend,Stationary,7.5,2
Employee 2,frontend,Stationary,7.5,1
Employee 2,frontend,Stationary,5.5,1
Employee 2,frontend,Remote,7.5,1
Employee 2,frontend,Remote,7.5,1
Employee 2,frontend,Stationary,6.0,1
Employee 2,frontend,Remote,8.0,1
Employee 2,frontend,Remote,5.5,1
Employee 2,frontend,Remote,4.5,1
Employee 2,frontend,Stationary,6.5,1
Employee 2,frontend,Stationary,6.0,1
Employee 2,frontend,Stationary,6.5,1
Employee 2,frontend,Remote,6.0,1
Employee 2,frontend,Stationary,4.5,1
Employee 2,frontend,Stationary,5.5,1
Employee 2,frontend,Stationary,4.5,1
Employee 2,frontend,Stationary,4.5,1
Employee 2,frontend,Stationary,5.5,1
Employee 2,frontend,Remote,7.5,1
Employee 2,frontend,Remote,7.5,1
Employee 2,frontend,Stationary,7.5,1
Employee 2,frontend,Stationary,5.0,1
Employee 2,frontend,Stationary,6.0,1
Employee 2,frontend,Stationary,5.0,1
Employee 2,frontend,Remote,4.5,1
Employee 2,frontend,Remote,7.5,1
Employee 2,frontend,Remote,7.0,1
Employee 2,frontend,Remote,7.5,1
Employee 2,frontend,Stationary,7.5,1
Employee 2,frontend,Remote,4.5,12
Employee 2,frontend,Remote,5.0,12
Employee 2,frontend,Remote,5.5,12
Employee 2,frontend,Stationary,4.5,12
Employee 2,frontend,Stationary,5.5,12
Employee 2,frontend,Stationary,7.5,12
Employee 2,frontend,Stationary,6.5,12
Employee 2,frontend,Stationary,6.0,12
Employee 2,frontend,Remote,6.5,12
Employee 2,frontend,Stationary,4.5,12
Employee 2,frontend,Remote,4.5,12
Employee 2,frontend,Stationary,4.5,12
Employee 2,frontend,Remote,8.0,12
Employee 2,frontend,Remote,8.0,12
Employee 2,frontend,Remote,5.0,12
Employee 2,frontend,Stationary,5.5,12
Employee 2,frontend,Stationary,7.5,12
Employee 2,frontend,Remote,7.0,12
Employee 2,frontend,Remote,6.0,12
Employee 2,frontend,Stationary,8.0,12
Employee 2,frontend,Stationary,5.5,12
Employee 2,frontend,Remote,7.0,12
Employee 2,frontend,Remote,8.0,12
Employee 2,frontend,Remote,8.0,12
Employee 2,frontend,Stationary,8.0,12
Employee 2,frontend,Remote,7.0,12
Employee 2,frontend,Stationary,7.0,12
Employee 2,frontend,Remote,4.5,12
Employee 2,frontend,Stationary,6.0,12
Employee 2,frontend,Remote,6.5,12
Employee 2,frontend,Stationary,6.5,11
Employee 2,frontend,Stationary,6.5,11
Employee 2,frontend,Stationary,7.5,11
Employee 2,frontend,Stationary,7.5,11
Employee 2,frontend,Remote,6.0,11
Employee 2,frontend,Remote,5.5,11
Employee 2,frontend,Stationary,4.5,11
Employee 2,frontend,Stationary,5.0,11
Employee 2,frontend,Remote,4.5,11
Employee 2,frontend,Remote,4.5,11
Employee 2,frontend,Remote,5.0,11
Employee 2,frontend,Remote,7.0,11
Employee 2,frontend,Remote,6.5,11
Employee 2,frontend,Stationary,6.0,11
Employee 2,frontend,Stationary,6.5,11
Employee 2,frontend,Stationary,4.5,11
Employee 2,frontend,Remote,6.0,11
Employee 2,frontend,Stationary,4.5,11
Employee 2,frontend,Remote,8.0,11
Employee 2,frontend,Stationary,7.0,11
Employee 3,frontend,Stationary,5.0,2
Employee 3,frontend,Remote,5.5,2
Employee 3,frontend,Remote,7.5,2
Employee 3,frontend,Stationary,5.5,2
Employee 3,frontend,Stationary,6.5,2
Employee 3,frontend,Remote,4.5,2
Employee 3,frontend,Stationary,7.5,1
Employee 3,frontend,Remote,6.0,1
Employee 3,frontend,Stationary,8.0,1
Employee 3,frontend,Remote,6.0,1
Employee 3,frontend,Remote,8.0,1
Employee 3,frontend,Remote,5.5,1
Employee 3,frontend,Stationary,5.0,1
Employee 3,frontend,Stationary,7.5,1
Employee 3,frontend,Stationary,8.0,1
Employee 3,frontend,Stationary,7.0,1
Employee 3,frontend,Remote,4.5,1
Employee 3,frontend,Stationary,4.5,1
Employee 3,frontend,Stationary,8.0,1
Employee 3,frontend,Stationary,5.0,1
Employee 3,frontend,Stationary,6.0,1
Employee 3,frontend,Remote,6.0,1
Employee 3,frontend,Stationary,6.0,1
Employee 3,frontend,Stationary,5.5,1
Employee 3,frontend,Remote,4.5,1
Employee 3,frontend,Remote,8.0,1
Employee 3,frontend,Stationary,8.0,1
Employee 3,frontend,Stationary,7.0,1
Employee 3,frontend,Remote,6.0,1
Employee 3,frontend,Remote,7.0,1
Employee 3,frontend,Stationary,7.0,1
Employee 3,frontend,Remote,7.5,1
Employee 3,frontend,Stationary,5.0,1
Employee 3,frontend,Stationary,5.5,1
Employee 3,frontend,Stationary,8.0,1
Employee 3,frontend,Stationary,5.5,1
Employee 3,frontend,Stationary,8.0,12
Employee 3,frontend,Stationary,4.5,12
Employee 3,frontend,Stationary,6.0,12
Employee 3,frontend,Stationary,5.5,12
Employee 3,frontend,Remote,8.0,12
Employee 3,frontend,Remote,8.0,12
Employee 3,frontend,Remote,5.0,12
Employee 3,frontend,Stationary,4.5,12
Employee 3,frontend,Stationary,4.5,12
Employee 3,frontend,Stationary,5.0,12
Employee 3,frontend,Remote,6.5,12
Employee 3,frontend,Stationary,8.0,12
Employee 3,frontend,Remote,7.0,12
Employee 3,frontend,Remote,7.0,12
Employee 3,frontend,Stationary,6.5,12
Employee 3,frontend,Stationary,6.0,12
Employee 3,frontend,Stationary,8.0,12
Employee 3,frontend,Stationary,5.0,12
Employee 3,frontend,Remote,8.0,12
Employee 3,frontend,Remote,7.0,12
Employee 3,frontend,Remote,7.0,12
Employee 3,frontend,Stationary,6.5,12
Employee 3,frontend,Remote,5.5,12
Employee 3,frontend,Stationary,6.5,12
Employee 3,frontend,Remote,4.5,12
Employee 3,frontend,Stationary,7.0,12
Employee 3,frontend,Stationary,8.0,12
Employee 3,frontend,Remote,5.0,12
Employee 3,frontend,Stationary,6.5,11
Employee 3,frontend,Remote,6.0,11
Employee 3,frontend,Remote,5.0,11
Employee 3,frontend,Stationary,7.5,11
Employee 3,frontend,Stationary,4.5,11
Employee 3,frontend,Stationary,6.5,11
Employee 3,frontend,Stationary,8.0,11
Employee 3,frontend,Remote,6.0,11
Employee 3,frontend,Stationary,4.5,11
Employee 3,frontend,Remote,5.0,11
Employee 3,frontend,Stationary,7.0,11
Employee 3,frontend,Stationary,8.0,11
Employee 3,frontend,Stationary,8.0,11
Employee 3,frontend,Remote,5.0,11
Employee 3,frontend,Stationary,6.0,11
Employee 3,frontend,Stationary,5.5,11
Employee 3,frontend,Remote,6.0,11
Employee 3,frontend,Remote,5.0,11
Employee 3,frontend,Remote,6.5,11
Employee 3,frontend,Stationary,4.5,11
Employee 3,frontend,Stationary,5.0,11
Employee 4,backend,Remote,5.0,2
Employee 4,backend,Remote,6.5,2
Employee 4,backend,Remote,7.0,2
Employee 4,backend,Stationary,8.0,2
Employee 4,backend,Remote,8.0,2
Employee 4,backend,Stationary,6.5,2
Employee 4,backend,Remote,7.0,2
Employee 4,backend,Stationary,6.0,1
Employee 4,backend,Stationary,5.0,1
Employee 4,backend,Remote,6.5,1
Employee 4,backend,Stationary,6.5,1
Employee 4,backend,Stationary,5.0,1
Employee 4,backend,Stationary,5.5,1
Employee 4,backend,Remote,7.5,1
Employee 4,backend,Remote,5.0,1
Employee 4,backend,Remote,5.0,1
Employee 4,backend,Stationary,4.5,1
Employee 4,backend,Stationary,5.5,1
Employee 4,backend,Stationary,7.0,1
Employee 4,backend,Remote,5.0,1
Employee 4,backend,Stationary,5.0,1
Employee 4,backend,Stationary,7.0,1
Employee 4,backend,Remote,5.0,1
Employee 4,backend,Stationary,5.0,1
Employee 4,backend,Stationary,7.5,1
Employee 4,backend,Remote,6.0,1
Employee 4,backend,Stationary,6.5,1
Employee 4,backend,Remote,4.5,1
Employee 4,backend,Stationary,6.5,1
Employee 4,backend,Remote,5.0,1
Employee 4,backend,Remote,5.5,1
Employee 4,backend,Stationary,5.5,1
Employee 4,backend,Stationary,7.5,1
Employee 4,backend,Remote,6.0,1
Employee 4,backend,Remote,5.5,1
Employee 4,backend,Stationary,5.0,1
Employee 4,backend,Stationary,6.5,1
Employee 4,backend,Stationary,6.5,1
Employee 4,backend,Stationary,4.5,12
Employee 4,backend,Stationary,7.5,12
Employee 4,backend,Stationary,6.5,12
Employee 4,backend,Stationary,6.0,12
Employee 4,backend,Remote,8.0,12
Employee 4,backend,Remote,4.5,12
Employee 4,backend,Stationary,4.5,12
Employee 4,backend,Stationary,6.0,12
Employee 4,backend,Stationary,6.5,12
Employee 4,backend,Stationary,6.5,12
Employee 4,backend,Stationary,5.5,12
Employee 4,backend,Stationary,4.5,12
Employee 4,backend,Stationary,5.5,12
Employee 4,backend,Remote,5.5,12
Employee 4,backend,Stationary,6.5,12
Employee 4,backend,Stationary,5.5,12
Employee 4,backend,Stationary,7.5,12
Employee 4,backend,Remote,7.5,12
Employee 4,backend,Stationary,8.0,12
Employee 4,backend,Stationary,6.5,12
Employee 4,backend,Stationary,6.5,12
Employee 4,backend,Remote,6.0,12
Employee 4,backend,Stationary,6.5,12
Employee 4,backend,Remote,5.5,12
Employee 4,backend,Remote,6.0,12
Employee 4,backend,Remote,6.0,12
Employee 4,backend,Remote,7.5,12
Employee 4,backend,Stationary,6.5,12
Employee 4,backend,Remote,6.0,12
Employee 4,backend,Stationary,4.5,11
Employee 4,backend,Stationary,7.0,11
Employee 4,backend,Remote,6.0,11
Employee 4,backend,Remote,6.5,11
Employee 4,backend,Stationary,6.0,11
Employee 4,backend,Remote,5.0,11
Employee 4,backend,Remote,6.5,11
Employee 4,backend,Stationary,5.5,11
Employee 4,backend,Remote,8.0,11
Employee 4,backend,Stationary,7.0,11
Employee 4,backend,Stationary,5.5,11
Employee 4,backend,Stationary,8.0,11
Employee 4,backend,Remote,7.5,11
Employee 4,backend,Remote,6.5,11
Employee 4,backend,Stationary,8.0,11
Employee 4,backend,Stationary,7.0,11
Employee 4,backend,Remote,6.5,11
Employee 4,backend,Stationary,4.5,11
Employee 5,frontend,Remote,4.5,2
Employee 5,frontend,Remote,5.5,2
Employee 5,frontend,Stationary,4.5,2
Employee 5,frontend,Remote,7.0,2
Employee 5,frontend,Remote,6.0,2
Employee 5,frontend,Remote,5.0,2
Employee 5,frontend,Stationary,7.5,2
Employee 5,frontend,Remote,6.0,1
Employee 5,frontend,Stationary,5.0,1
Employee 5,frontend,Stationary,5.0,1
Employee 5,frontend,Remote,6.0,1
Employee 5,frontend,Stationary,4.5,1
Employee 5,frontend,Stationary,6.0,1
Employee 5,frontend,Remote,7.0,1
Employee 5,frontend,Remote,5.5,1
Employee 5,frontend,Remote,5.5,1
Employee 5,frontend,Remote,5.0,1
Employee 5,frontend,Stationary,7.5,1
Employee 5,frontend,Remote,5.5,1
Employee 5,frontend,Remote,7.5,1
Employee 5,frontend,Remote,7.5,1
Employee 5,frontend,Remote,7.5,1
Employee 5,frontend,Stationary,5.0,1
Employee 5,frontend,Remote,7.0,1
Employee 5,frontend,Stationary,6.0,1
Employee 5,frontend,Remote,7.0,1
Employee 5,frontend,Stationary,7.5,1
Employee 5,frontend,Remote,6.5,1
Employee 5,frontend,Remote,7.0,1
Employee 5,frontend,Remote,4.5,1
Employee 5,frontend,Remote,5.5,1
Employee 5,frontend,Remote,6.5,1
Employee 5,frontend,Stationary,8.0,1
Employee 5,frontend,Remote,6.0,1
Employee 5,frontend,Stationary,5.5,1
Employee 5,frontend,Remote,8.0,1
Employee 5,frontend,Remote,6.0,1
Employee 5,frontend,Stationary,6.0,12
Employee 5,frontend,Remote,7.5,12
Employee 5,frontend,Stationary,7.0,12
Employee 5,frontend,Remote,6.5,12
Employee 5,frontend,Stationary,5.5,12
Employee 5,frontend,Stationary,7.5,12
Employee 5,frontend,Stationary,5.0,12
Employee 5,frontend,Remote,6.0,12
Employee 5,frontend,Remote,6.5,12
Employee 5,frontend,Remote,7.0,12
Employee 5,frontend,Stationary,7.0,12
Employee 5,frontend,Stationary,8.0,12
Employee 5,frontend,Remote,5.0,12
Employee 5,frontend,Stationary,7.0,12
Employee 5,frontend,Remote,4.5,12
Employee 5,frontend,Stationary,6.0,12
Employee 5,frontend,Stationary,4.5,12
Employee 5,frontend,Remote,4.5,12
Employee 5,frontend,Stationary,5.0,12
Employee 5,frontend,Remote,7.0,12
Employee 5,frontend,Stationary,4.5,12
Employee 5,frontend,Remote,6.5,12
Employee 5,frontend,Stationary,8.0,12
Employee 5,frontend,Stationary,5.0,12
Employee 5,frontend,Remote,6.5,12
Employee 5,frontend,Remote,6.0,12
Employee 5,frontend,Remote,5.0,12
Employee 5,frontend,Stationary,5.5,12
Employee 5,frontend,Stationary,5.5,12
Employee 5,frontend,Stationary,5.5,11
Employee 5,frontend,Stationary,4.5,11
Employee 5,frontend,Remote,8.0,11
Employee 5,frontend,Stationary,6.5,11
Employee 5,frontend,Remote,7.5,11
Employee 5,frontend,Remote,8.0,11
Employee 5,frontend,Stationary,8.0,11
Employee 5,frontend,Stationary,4.5,11
Employee 5,frontend,Stationary,6.5,11
Employee 5,frontend,Stationary,7.5,11
Employee 5,frontend,Remote,6.0,11
Employee 5,frontend,Stationary,5.5,11
Employee 5,frontend,Remote,5.5,11
Employee 5,frontend,Stationary,5.5,11
Employee 5,frontend,Stationary,6.0,11
Employee 5,frontend,Stationary,6.0,11
Employee 5,frontend,Remote,6.5,11
Employee 5,frontend,Remote,6.5,11
Employee 5,frontend,Remote,7.0,11
Employee 5,frontend,Remote,5.0,11
Employee 5,frontend,Remote,7.5,11
Employee 6,devops,Stationary,6.0,2
Employee 6,devops,Stationary,7.5,2
Employee 6,devops,Remote,4.5,2
Employee 6,devops,Remote,7.0,2
Employee 6,devops,Stationary,5.5,2
Employee 6,devops,Remote,5.5,2
Employee 6,devops,Stationary,6.5,2
Employee 6,devops,Remote,5.5,1
Employee 6,devops,Stationary,4.5,1
Employee 6,devops,Remote,5.5,1
Employee 6,devops,Stationary,8.0,1
Employee 6,devops,Stationary,7.5,1
Employee 6,devops,Remote,6.5,1
Employee 6,devops,Stationary,7.5,1
Employee 6,devops,Remote,5.5,1
Employee 6,devops,Stationary,7.0,1
Employee 6,devops,Stationary,7.5,1
Employee 6,devops,Stationary,8.0,1
Employee 6,devops,Remote,6.0,1
Employee 6,devops,Stationary,7.5,1
Employee 6,devops,Stationary,7.5,1
Employee 6,devops,Stationary,5.5,1
Employee 6,devops,Remote,7.0,1
Employee 6,devops,Remote,6.5,1
Employee 6,devops,Remote,6.5,1
Employee 6,devops,Stationary,6.5,1
Employee 6,devops,Stationary,4.5,1
Employee 6,devops,Remote,6.0,1
Employee 6,devops,Stationary,6.0,1
Employee 6,devops,Stationary,7.5,1
Employee 6,devops,Remote,8.0,1
Employee 6,devops,Stationary,6.5,1
Employee 6,devops,Remote,6.5,1
Employee 6,devops,Remote,4.5,1
Employee 6,devops,Stationary,8.0,1
Employee 6,devops,Remote,6.5,1
Employee 6,devops,Remote,6.5,1
Employee 6,devops,Stationary,4.5,1
Employee 6,devops,Stationary,8.0,12
Employee 6,devops,Remote,5.5,12
Employee 6,devops,Remote,4.5,12
Employee 6,devops,Stationary,5.5,12
Employee 6,devops,Stationary,8.0,12
Employee 6,devops,Stationary,7.5,12
Employee 6,devops,Remote,5.5,12
Employee 6,devops,Stationary,7.0,12
Employee 6,devops,Remote,7.5,12
Employee 6,devops,Remote,6.5,12
Employee 6,devops,Remote,6.5,12
Employee 6,devops,Stationary,5.5,12
Employee 6,devops,Remote,7.0,12
Employee 6,devops,Remote,7.5,12
Employee 6,devops,Remote,7.0,12
Employee 6,devops,Stationary,4.5,12
Employee 6,devops,Stationary,7.0,12
Employee 6,devops,Remote,5.0,12
Employee 6,devops,Remote,6.5,12
Employee 6,devops,Remote,7.5,12
Employee 6,devops,Stationary,6.5,12
Employee 6,devops,Remote,7.5,12
Employee 6,devops,Remote,5.0,12
Employee 6,devops,Stationary,6.0,12
Employee 6,devops,Remote,8.0,12
Employee 6,devops,Remote,8.0,12
Employee 6,devops,Remote,5.5,12
Employee 6,devops,Stationary,5.0,12
Employee 6,devops,Stationary,6.0,12
Employee 6,devops,Stationary,8.0,12
Employee 6,devops,Stationary,4.5,11
Employee 6,devops,Remote,7.5,11
Employee 6,devops,Remote,6.0,11
Employee 6,devops,Remote,4.5,11
Employee 6,devops,Stationary,7.5,11
Employee 6,devops,Stationary,5.0,11
Employee 6,devops,Remote,4.5,11
Employee 6,devops,Stationary,6.0,11
Employee 6,devops,Stationary,5.5,11
Employee 6,devops,Remote,4.5,11
Employee 6,devops,Remote,7.5,11
Employee 6,devops,Stationary,6.5,11
Employee 6,devops,Remote,6.5,11
Employee 6,devops,Stationary,4.5,11
Employee 6,devops,Stationary,5.0,11
Employee 6,devops,Remote,6.5,11
Employee 6,devops,Stationary,5.5,11
Employee 6,devops,Stationary,6.0,11
Employee 6,devops,Stationary,7.0,11
Employee 6,devops,Stationary,6.0,11
Employee 7,backend,Stationary,4.5,2
Employee 7,backend,Stationary,6.5,2
Employee 7,backend,Remote,8.0,2
Employee 7,backend,Remote,8.0,2
Employee 7,backend,Remote,7.0,2
Employee 7,backend,Stationary,8.0,2
Employee 7,backend,Stationary,6.5,2
Employee 7,backend,Remote,7.0,1
Employee 7,backend,Remote,6.5,1
Employee 7,backend,Stationary,7.0,1
Employee 7,backend,Stationary,4.5,1
Employee 7,backend,Remote,8.0,1
Employee 7,backend,Stationary,7.5,1
Employee 7,backend,Stationary,8.0,1
Employee 7,backend,Remote,8.0,1
Employee 7,backend,Stationary,7.5,1
Employee 7,backend,Remote,6.0,1
Employee 7,backend,Remote,4.5,1
Employee 7,backend,Stationary,6.0,1
Employee 7,backend,Remote,7.5,1
Employee 7,backend,Remote,7.0,1
Employee 7,backend,Remote,8.0,1
Employee 7,backend,Stationary,8.0,1
Employee 7,backend,Remote,4.5,1
Employee 7,backend,Stationary,5.0,1
Employee 7,backend,Remote,8.0,1
Employee 7,backend,Remote,5.0,1
Employee 7,backend,Remote,5.0,1
Employee 7,backend,Remote,5.0,1
Employee 7,backend,Remote,7.0,1
Employee 7,backend,Remote,5.5,1
Employee 7,backend,Stationary,6.5,1
Employee 7,backend,Remote,6.0,1
Employee 7,backend,Remote,5.0,1
Employee 7,backend,Remote,6.0,1
Employee 7,backend,Remote,5.0,1
Employee 7,backend,Stationary,8.0,1
Employee 7,backend,Stationary,5.0,12
Employee 7,backend,Remote,5.5,12
Employee 7,backend,Remote,4.5,12
Employee 7,backend,Remote,4.5,12
Employee 7,backend,Remote,5.0,12
Employee 7,backend,Remote,6.5,12
Employee 7,backend,Remote,7.0,12
Employee 7,backend,Stationary,5.0,12
Employee 7,backend,Remote,5.5,12
Employee 7,backend,Remote,6.5,12
Employee 7,backend,Stationary,8.0,12
Employee 7,backend,Stationary,5.5,12
Employee 7,backend,Stationary,6.5,12
Employee 7,backend,Remote,8.0,12
Employee 7,backend,Stationary,6.5,12
Employee 7,backend,Remote,6.0,12
Employee 7,backend,Remote,6.0,12
Employee 7,backend,Remote,5.0,12
Employee 7,backend,Stationary,5.5,12
Employee 7,backend,Stationary,7.0,12
Employee 7,backend,Stationary,5.5,12
Employee 7,backend,Stationary,7.0,12
Employee 7,backend,Stationary,5.5,12
Employee 7,backend,Stationary,4.5,12
Employee 7,backend,Remote,5.0,12
Employee 7,backend,Remote,7.0,12
Employee 7,backend,Stationary,6.5,12
Employee 7,backend,Remote,6.0,12
Employee 7,backend,Stationary,6.0,12
Employee 7,backend,Remote,6.0,12
Employee 7,backend,Remote,7.5,11
Employee 7,backend,Stationary,7.5,11
Employee 7,backend,Stationary,6.5,11
Employee 7,backend,Remote,7.0,11
Employee 7,backend,Stationary,7.0,11
Employee 7,backend,Remote,5.0,11
Employee 7,backend,Remote,6.5,11
Employee 7,backend,Stationary,5.0,11
Employee 7,backend,Remote,7.5,11
Employee 7,backend,Stationary,7.5,11
